Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
Bachelors,2017,Bangalore,1,1,1,0,0,0,0
Bachelors,2013,Pune,0,1,0,0,3,1,1
Bachelors,2014,New Delhi,1,1,0,0,2,0,2
Masters,2016,Bangalore,1,1,1,0,5,1,3
Masters,2017,Pune,1,1,1,1,2,1,4
Bachelors,2016,Bangalore,1,1,1,0,0,0,5
Bachelors,2015,New Delhi,1,1,1,0,0,0,6
Bachelors,2016,Bangalore,1,1,0,0,2,1,7
Bachelors,2016,Pune,1,1,1,0,1,0,8
Masters,2017,New Delhi,0,1,1,0,2,0,9
Masters,2012,Bangalore,1,1,1,0,5,1,10
Bachelors,2016,Pune,1,1,1,0,3,0,11
Bachelors,2018,Pune,1,1,1,1,5,1,12
Bachelors,2016,Bangalore,1,1,1,0,2,0,13
Bachelors,2012,Bangalore,1,1,1,0,4,0,14
Bachelors,2017,Bangalore,0,1,1,0,3,0,15
Bachelors,2014,Bangalore,1,1,0,0,2,0,16
Bachelors,2014,Pune,1,1,1,0,4,0,17
Bachelors,2015,Pune,0,1,0,0,0,1,18
Bachelors,2016,New Delhi,0,1,0,0,0,1,19
Bachelors,2012,Bangalore,1,1,1,0,0,0,20
Masters,2017,New Delhi,0,1,1,0,4,0,21
Bachelors,2017,New Delhi,0,1,1,0,3,0,22
Bachelors,2015,Bangalore,1,1,1,1,5,0,23
Bachelors,2017,Bangalore,1,1,1,0,4,0,24
Bachelors,2013,Bangalore,1,1,0,1,0,0,25
Bachelors,2016,Bangalore,1,1,1,0,2,0,26
Bachelors,2015,Bangalore,1,1,1,0,1,0,27
Bachelors,2013,Pune,0,1,0,0,2,1,28
Masters,2017,New Delhi,0,1,0,0,2,0,29
PHD,2013,New Delhi,1,1,1,0,3,0,30
Bachelors,2014,Bangalore,1,1,1,0,1,0,31
Bachelors,2018,Bangalore,1,1,1,0,4,1,32
Bachelors,2016,Bangalore,1,0,1,0,5,0,33
Bachelors,2017,Pune,0,1,0,0,0,1,34
Bachelors,2014,Bangalore,0,1,0,0,3,0,35
Bachelors,2012,New Delhi,1,1,1,0,3,0,36
Bachelors,2018,New Delhi,0,1,0,0,0,1,37
Bachelors,2017,Pune,0,1,0,0,2,1,38
Bachelors,2014,Pune,1,1,1,1,4,0,39
Bachelors,2015,Bangalore,1,1,1,0,1,0,40
Masters,2017,New Delhi,0,1,1,0,1,0,41
Bachelors,2013,Bangalore,1,1,1,0,3,1,42
Bachelors,2014,Bangalore,1,1,1,0,0,0,43
Bachelors,2015,Pune,1,1,1,0,4,0,44
Bachelors,2014,Bangalore,1,1,0,0,1,0,45
PHD,2012,New Delhi,1,1,1,0,5,0,46
Masters,2013,New Delhi,1,1,1,0,2,0,47
Masters,2017,New Delhi,0,1,1,0,0,0,48
Bachelors,2013,Bangalore,1,1,0,0,1,0,49
PHD,2017,New Delhi,1,1,1,0,2,0,50
Bachelors,2015,Pune,0,1,0,0,4,1,51
Bachelors,2016,Bangalore,1,1,0,0,0,0,52
Bachelors,2014,Bangalore,1,1,0,1,5,0,53
Bachelors,2017,New Delhi,1,1,0,1,5,0,54
PHD,2013,New Delhi,1,1,1,0,2,0,55
Bachelors,2016,Bangalore,1,1,1,0,2,0,56
Masters,2014,Pune,1,1,0,0,2,0,57
Bachelors,2013,Pune,1,1,1,0,4,0,58
Masters,2017,Pune,0,1,1,0,2,1,59
Masters,2013,New Delhi,1,1,1,0,3,0,60
Bachelors,2015,Bangalore,1,1,1,0,5,0,61
PHD,2013,Bangalore,0,1,1,0,3,1,62
Bachelors,2014,Pune,0,1,0,0,0,1,63
Bachelors,2016,Bangalore,1,1,1,0,4,0,64
Bachelors,2018,Bangalore,1,0,1,0,1,1,65
PHD,2013,Bangalore,1,1,1,0,4,0,66
Bachelors,2014,New Delhi,1,1,1,0,0,0,67
Bachelors,2015,Bangalore,1,1,0,0,2,0,68
Masters,2017,Bangalore,1,0,0,0,2,1,69
Bachelors,2018,Bangalore,1,1,0,0,1,1,70
Masters,2017,Bangalore,1,1,1,0,4,0,71
Bachelors,2014,Pune,1,1,0,0,3,0,72
Bachelors,2014,Bangalore,0,1,1,0,5,0,73
Masters,2017,New Delhi,0,1,0,0,3,1,74
Bachelors,2015,Bangalore,1,0,1,0,0,1,75
Bachelors,2014,Bangalore,0,1,0,0,1,0,76
Bachelors,2017,Bangalore,1,1,0,0,1,0,77
Bachelors,2012,Bangalore,1,1,1,0,1,0,78
PHD,2015,New Delhi,0,1,1,0,1,0,79
Bachelors,2017,Pune,1,1,1,0,2,0,80
Bachelors,2013,Bangalore,1,1,0,0,0,1,81
Bachelors,2016,Bangalore,1,1,1,0,5,0,82
Bachelors,2017,Bangalore,1,1,0,0,3,0,83
Bachelors,2015,Bangalore,1,1,0,1,5,1,84
Bachelors,2016,Pune,0,1,1,0,0,1,85
Bachelors,2017,Pune,0,1,0,0,5,1,86
Masters,2015,Pune,0,1,0,0,4,0,87
Bachelors,2014,Bangalore,1,1,1,0,4,0,88
Masters,2012,New Delhi,1,1,1,0,2,0,89
Bachelors,2018,Bangalore,1,1,1,0,0,1,90
Bachelors,2015,New Delhi,1,1,1,0,0,0,91
Bachelors,2017,New Delhi,0,1,0,0,5,0,92
Masters,2013,New Delhi,1,1,1,0,2,0,93
Bachelors,2014,Bangalore,1,1,1,0,3,1,94
PHD,2018,Bangalore,1,1,1,0,4,1,95
Bachelors,2016,Bangalore,1,1,0,0,0,0,96
Bachelors,2014,Bangalore,1,1,1,0,5,1,97
Bachelors,2014,Bangalore,1,1,0,0,0,0,98
Bachelors,2015,Bangalore,1,1,0,0,2,1,99
Masters,2012,Pune,1,1,1,0,3,1,100
Bachelors,2013,Pune,1,1,1,0,3,0,101
Masters,2017,New Delhi,1,1,0,0,4,1,102
Bachelors,2015,Pune,0,1,0,1,1,1,103
Bachelors,2017,New Delhi,1,1,1,0,2,0,104
Masters,2015,Pune,0,1,0,0,3,1,105
Masters,2015,New Delhi,1,1,1,0,3,0,106
Bachelors,2017,Bangalore,1,1,1,0,1,0,107
Masters,2013,Pune,1,1,1,0,3,0,108
Bachelors,2015,Bangalore,0,1,0,0,3,1,109
Bachelors,2015,Bangalore,1,1,0,0,5,0,110
Bachelors,2017,Pune,0,1,0,0,5,1,111
Bachelors,2013,Bangalore,1,1,1,0,5,1,112
Bachelors,2012,Bangalore,1,1,1,0,3,0,113
Masters,2017,New Delhi,0,1,1,0,2,0,114
Bachelors,2014,Pune,0,1,0,0,4,1,115
Bachelors,2015,Bangalore,1,1,1,0,2,0,116
Masters,2013,New Delhi,1,1,1,0,4,0,117
Bachelors,2017,Bangalore,1,1,0,0,4,0,118
Bachelors,2017,New Delhi,0,1,1,0,3,0,119
Bachelors,2012,Bangalore,0,1,0,0,3,0,120
PHD,2015,New Delhi,1,1,1,0,4,0,121
Bachelors,2015,New Delhi,1,1,0,0,3,0,122
Bachelors,2012,Bangalore,1,1,1,0,4,1,123
Bachelors,2014,Bangalore,1,1,0,0,3,0,124
Masters,2014,Pune,1,1,1,0,2,0,125
Bachelors,2013,Bangalore,1,1,1,0,1,0,126
Bachelors,2015,Pune,1,1,1,0,5,0,127
Bachelors,2018,Bangalore,1,1,1,0,3,1,128
Masters,2013,Pune,0,1,1,0,2,1,129
Bachelors,2017,Bangalore,1,1,0,0,4,0,130
Bachelors,2013,Bangalore,1,1,1,0,1,1,131
