Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
Bachelors,2014,New Delhi,1,1,0,0,2,0,2
Masters,2016,Bangalore,1,1,1,0,5,1,3
Bachelors,2016,Pune,1,1,1,0,1,0,8
Masters,2012,Bangalore,1,1,1,0,5,1,10
Bachelors,2016,Pune,1,1,1,0,3,0,11
Bachelors,2017,Bangalore,0,1,1,0,3,0,15
Bachelors,2014,Bangalore,1,1,0,0,2,0,16
Bachelors,2014,Pune,1,1,1,0,4,0,17
Bachelors,2016,New Delhi,0,1,0,0,0,1,19
Bachelors,2012,Bangalore,1,1,1,0,0,0,20
Bachelors,2017,New Delhi,0,1,1,0,3,0,22
Bachelors,2015,Bangalore,1,1,1,1,5,0,23
Bachelors,2017,Bangalore,1,1,1,0,4,0,24
Bachelors,2015,Bangalore,1,1,1,0,1,0,27
Bachelors,2013,Pune,0,1,0,0,2,1,28
Bachelors,2014,Bangalore,1,1,1,0,1,0,31
Bachelors,2016,Bangalore,1,0,1,0,5,0,33
Bachelors,2017,Pune,0,1,0,0,0,1,34
Bachelors,2012,New Delhi,1,1,1,0,3,0,36
Bachelors,2017,Pune,0,1,0,0,2,1,38
Bachelors,2013,Bangalore,1,1,1,0,3,1,42
PHD,2017,New Delhi,1,1,1,0,2,0,50
Bachelors,2015,Pune,0,1,0,0,4,1,51
Bachelors,2016,Bangalore,1,1,0,0,0,0,52
Bachelors,2017,New Delhi,1,1,0,1,5,0,54
PHD,2013,New Delhi,1,1,1,0,2,0,55
Bachelors,2016,Bangalore,1,1,1,0,2,0,56
Masters,2014,Pune,1,1,0,0,2,0,57
Masters,2017,Pune,0,1,1,0,2,1,59
Bachelors,2015,Bangalore,1,1,1,0,5,0,61
PHD,2013,Bangalore,0,1,1,0,3,1,62
Bachelors,2014,Pune,0,1,0,0,0,1,63
Bachelors,2014,New Delhi,1,1,1,0,0,0,67
Bachelors,2018,Bangalore,1,1,0,0,1,1,70
Bachelors,2014,Pune,1,1,0,0,3,0,72
Masters,2017,New Delhi,0,1,0,0,3,1,74
Bachelors,2017,Bangalore,1,1,0,0,1,0,77
Bachelors,2017,Pune,1,1,1,0,2,0,80
