Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
Bachelors,2017,Bangalore,3,0,1,No,1,1,1583
Bachelors,2012,Bangalore,3,0,1,No,5,0,1794
Masters,2017,New Delhi,3,0,1,Yes,2,0,417
Bachelors,2017,Bangalore,3,0,0,No,2,0,3481
Bachelors,2013,Bangalore,3,0,0,No,3,0,1948
Bachelors,2017,Bangalore,3,0,1,No,1,0,4564
Bachelors,2014,Bangalore,1,0,0,No,5,0,4404
Bachelors,2017,New Delhi,2,0,1,No,2,0,403
Masters,2018,Pune,3,0,1,No,2,1,1086
Bachelors,2012,Bangalore,3,0,0,No,4,0,2590
Bachelors,2016,Bangalore,3,0,0,No,4,0,4089
Bachelors,2017,New Delhi,2,0,0,No,5,0,260
Masters,2013,Pune,3,0,1,Yes,3,1,1152
Bachelors,2014,Bangalore,3,0,0,No,4,0,2185
Bachelors,2013,Bangalore,3,0,0,No,5,0,3975
PHD,2014,Bangalore,3,0,1,No,5,0,2901
Bachelors,2017,Bangalore,3,0,1,No,3,0,823
Bachelors,2013,New Delhi,3,0,1,No,4,0,1643
Masters,2017,New Delhi,2,0,1,No,1,0,2673
Bachelors,2013,Pune,3,0,1,No,1,0,3535
Masters,2017,Pune,2,0,0,No,3,0,3141
Bachelors,2014,Bangalore,3,0,1,No,3,1,3243
Masters,2017,New Delhi,2,0,1,No,2,0,708
Bachelors,2018,Pune,2,0,0,No,0,1,3723
Masters,2017,New Delhi,2,0,1,No,2,1,1619
Bachelors,2013,Pune,3,0,0,No,5,1,2563
Bachelors,2013,Bangalore,3,0,1,No,0,0,3396
Bachelors,2016,Pune,3,0,1,No,0,1,3500
Bachelors,2014,Bangalore,3,0,1,No,3,0,1271
Bachelors,2012,Bangalore,3,0,1,No,4,0,1700
Bachelors,2013,New Delhi,3,0,0,No,2,0,2685
Bachelors,2015,Bangalore,3,0,1,No,5,0,2927
Bachelors,2015,Bangalore,3,0,1,No,5,0,1503
Masters,2017,Pune,2,0,0,No,2,0,3221
Bachelors,2015,Bangalore,3,1,1,No,4,0,4470
Bachelors,2013,New Delhi,3,0,0,Yes,5,0,421
Bachelors,2016,Pune,3,0,1,No,5,0,2595
Bachelors,2018,New Delhi,2,0,0,No,0,1,38
Bachelors,2013,Bangalore,3,0,1,No,4,0,175
Bachelors,2016,Pune,3,0,1,No,2,0,597
Bachelors,2012,Bangalore,3,0,0,No,3,0,747
Masters,2014,New Delhi,3,0,0,No,3,0,1664
PHD,2018,New Delhi,2,0,0,No,4,1,2797
Bachelors,2017,New Delhi,3,0,0,No,3,0,3995
Bachelors,2016,Bangalore,3,0,1,No,4,0,2457
Bachelors,2018,Bangalore,3,0,1,No,3,1,1316
Masters,2017,Pune,2,0,1,No,1,0,2310
Bachelors,2017,New Delhi,3,0,0,No,5,0,363
Bachelors,2018,Pune,3,0,1,No,1,1,679
PHD,2016,Bangalore,3,0,1,No,5,0,962
Bachelors,2017,Pune,2,0,1,No,1,0,3416
Bachelors,2012,Bangalore,3,0,1,No,4,1,2067
Bachelors,2015,Pune,2,0,0,Yes,0,1,3086
Bachelors,2017,New Delhi,2,0,1,No,4,0,2872
Bachelors,2015,New Delhi,2,0,0,Yes,2,1,712
Bachelors,2014,Bangalore,3,0,1,No,1,0,1989
Bachelors,2012,Bangalore,3,0,1,Yes,3,0,503
Masters,2017,Pune,2,1,1,Yes,2,0,3111
Bachelors,2017,Bangalore,3,0,0,No,5,0,2723
Bachelors,2017,Bangalore,3,0,0,No,3,0,3863
Bachelors,2015,Pune,3,0,0,No,2,1,2113
Bachelors,2012,Bangalore,3,0,1,No,4,0,4453
Bachelors,2017,Bangalore,3,0,1,No,1,0,3074
Bachelors,2017,New Delhi,2,0,1,No,5,0,2948
Bachelors,2016,Bangalore,2,0,1,No,3,1,1319
Bachelors,2015,Pune,2,0,0,No,2,1,1725
Bachelors,2017,Bangalore,3,0,1,No,4,0,2838
Bachelors,2015,Pune,1,0,0,No,2,1,1586
Bachelors,2015,Pune,3,0,0,No,2,1,4425
Bachelors,2017,Bangalore,3,0,1,Yes,5,0,1251
Masters,2016,New Delhi,3,1,0,No,4,0,3959
Bachelors,2016,Bangalore,3,0,0,No,2,0,1322
Masters,2013,New Delhi,3,0,1,No,4,1,2194
Bachelors,2018,Bangalore,3,0,1,Yes,1,1,3399
Bachelors,2013,Pune,3,0,1,No,4,0,2606
Bachelors,2013,Bangalore,3,0,0,No,4,0,2968
Bachelors,2012,Pune,3,0,1,No,1,0,3281
Bachelors,2017,Bangalore,3,0,1,No,2,0,1133
Bachelors,2014,Bangalore,3,0,0,No,2,1,3043
Bachelors,2014,Bangalore,3,0,1,Yes,1,0,3897
Bachelors,2012,Pune,3,0,0,No,3,1,1512
Bachelors,2018,New Delhi,3,0,0,Yes,4,1,376
Bachelors,2013,Pune,3,0,1,No,4,0,988
Bachelors,2016,Bangalore,3,0,1,No,0,0,3240
Bachelors,2014,Bangalore,3,0,1,No,1,0,2751
Bachelors,2017,Bangalore,2,0,0,No,2,1,1922
Bachelors,2013,Bangalore,3,0,1,Yes,4,0,2383
Bachelors,2013,Bangalore,3,0,1,No,0,0,4278
Masters,2017,New Delhi,3,0,0,No,3,0,1093
Masters,2012,New Delhi,3,0,1,No,4,1,874
Bachelors,2017,New Delhi,3,0,0,No,3,0,279
Bachelors,2012,New Delhi,3,0,0,No,4,0,1303
Bachelors,2012,Bangalore,3,0,0,No,2,0,3539
Bachelors,2017,Bangalore,3,0,1,No,2,0,3050
Masters,2014,Pune,3,0,1,No,4,0,3438
Bachelors,2014,Pune,3,0,0,No,3,1,1280
Bachelors,2015,Bangalore,3,0,1,No,2,0,2031
Bachelors,2017,Pune,2,0,0,No,5,1,2583
Bachelors,2014,New Delhi,2,0,0,No,2,1,390
Bachelors,2018,Bangalore,3,0,0,No,2,1,1555
Bachelors,2015,Bangalore,3,0,1,No,1,0,4251
Masters,2017,Pune,2,0,0,No,3,1,1032
Bachelors,2015,Bangalore,3,0,1,No,2,0,2377
Bachelors,2015,Pune,2,0,0,No,2,1,4346
Bachelors,2012,Bangalore,3,0,0,No,4,0,841
Bachelors,2017,Bangalore,3,0,0,No,1,0,2188
Bachelors,2017,Bangalore,3,0,1,No,4,1,4591
Bachelors,2017,Bangalore,3,0,1,Yes,4,0,1935
Bachelors,2012,Bangalore,3,0,1,No,1,0,4444
Bachelors,2014,Bangalore,3,0,1,No,1,0,4427
Masters,2013,New Delhi,3,1,0,No,2,0,3809
Bachelors,2012,Pune,3,0,0,No,2,1,1878
Masters,2017,Pune,2,0,1,No,3,0,955
Bachelors,2018,Bangalore,3,0,0,No,2,1,647
Bachelors,2013,Bangalore,3,0,1,No,5,0,1186
Masters,2014,New Delhi,3,0,0,No,0,1,4637
Bachelors,2017,New Delhi,3,0,1,No,5,0,1917
Bachelors,2015,Bangalore,3,0,1,No,0,0,4186
Bachelors,2014,Bangalore,3,0,1,No,4,0,1013
Bachelors,2013,Bangalore,3,0,1,No,5,0,3523
Bachelors,2013,Bangalore,3,0,1,No,2,0,4482
Masters,2012,New Delhi,3,0,0,No,2,1,323
Masters,2012,Pune,3,0,1,No,4,1,2825
Bachelors,2014,Pune,3,0,1,No,1,0,2663
Bachelors,2016,Pune,3,1,1,No,5,0,3767
Bachelors,2012,Bangalore,3,0,1,No,4,0,3292
PHD,2015,New Delhi,3,0,1,No,2,1,2166
Bachelors,2017,Bangalore,3,0,1,No,2,0,1920
Masters,2017,New Delhi,2,0,1,No,5,1,481
Masters,2014,New Delhi,1,0,0,No,3,0,1775
Masters,2014,Bangalore,3,0,0,No,2,1,3207
Masters,2013,Pune,3,0,0,Yes,5,1,2541
Bachelors,2015,Pune,3,0,1,No,5,0,2714
Bachelors,2016,Pune,3,0,1,No,1,0,2629
Bachelors,2018,Bangalore,3,0,0,No,4,1,1715
Bachelors,2018,Bangalore,3,0,1,No,2,1,788
Bachelors,2014,Bangalore,3,0,0,No,3,0,654
Bachelors,2017,New Delhi,2,0,0,No,3,0,811
Bachelors,2012,Pune,3,0,1,No,4,0,2979
Bachelors,2015,Pune,2,0,0,No,3,1,1393
Bachelors,2017,New Delhi,3,0,0,No,4,0,3664
Bachelors,2015,Bangalore,3,0,1,No,4,0,2694
Bachelors,2014,Bangalore,3,0,1,No,0,0,4494
Bachelors,2017,New Delhi,2,1,0,No,5,0,4356
Bachelors,2012,Bangalore,3,0,1,No,4,0,3151
PHD,2016,New Delhi,1,0,1,No,4,0,1660
Bachelors,2015,Bangalore,3,0,1,No,1,0,4076
