Score,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
15,Bachelors,2017,Bangalore,3,0,1,No,1,1,1583
110,Bachelors,2012,Bangalore,3,0,1,No,5,0,1794
50,Masters,2017,New Delhi,3,0,1,Yes,2,0,417
60,Bachelors,2017,Bangalore,3,0,0,No,2,0,3481
90,Bachelors,2013,Bangalore,3,0,0,No,3,0,1948
60,Bachelors,2017,Bangalore,3,0,1,No,1,0,4564
110,Bachelors,2014,Bangalore,1,0,0,No,5,0,4404
70,Bachelors,2017,New Delhi,2,0,1,No,2,0,403
25,Masters,2018,Pune,3,0,1,No,2,1,1086
90,Bachelors,2012,Bangalore,3,0,0,No,4,0,2590
90,Bachelors,2016,Bangalore,3,0,0,No,4,0,4089
110,Bachelors,2017,New Delhi,2,0,0,No,5,0,260
35,Masters,2013,Pune,3,0,1,Yes,3,1,1152
90,Bachelors,2014,Bangalore,3,0,0,No,4,0,2185
110,Bachelors,2013,Bangalore,3,0,0,No,5,0,3975
110,PHD,2014,Bangalore,3,0,1,No,5,0,2901
60,Bachelors,2017,Bangalore,3,0,1,No,3,0,823
100,Bachelors,2013,New Delhi,3,0,1,No,4,0,1643
70,Masters,2017,New Delhi,2,0,1,No,1,0,2673
100,Bachelors,2013,Pune,3,0,1,No,1,0,3535
70,Masters,2017,Pune,2,0,0,No,3,0,3141
45,Bachelors,2014,Bangalore,3,0,1,No,3,1,3243
70,Masters,2017,New Delhi,2,0,1,No,2,0,708
25,Bachelors,2018,Pune,2,0,0,No,0,1,3723
25,Masters,2017,New Delhi,2,0,1,No,2,1,1619
110,Bachelors,2013,Pune,3,0,0,No,5,1,2563
90,Bachelors,2013,Bangalore,3,0,1,No,0,0,3396
55,Bachelors,2016,Pune,3,0,1,No,0,1,3500
90,Bachelors,2014,Bangalore,3,0,1,No,3,0,1271
90,Bachelors,2012,Bangalore,3,0,1,No,4,0,1700
100,Bachelors,2013,New Delhi,3,0,0,No,2,0,2685
110,Bachelors,2015,Bangalore,3,0,1,No,5,0,2927
110,Bachelors,2015,Bangalore,3,0,1,No,5,0,1503
70,Masters,2017,Pune,2,0,0,No,2,0,3221
90,Bachelors,2015,Bangalore,3,1,1,No,4,0,4470
110,Bachelors,2013,New Delhi,3,0,0,Yes,5,0,421
110,Bachelors,2016,Pune,3,0,1,No,5,0,2595
25,Bachelors,2018,New Delhi,2,0,0,No,0,1,38
90,Bachelors,2013,Bangalore,3,0,1,No,4,0,175
100,Bachelors,2016,Pune,3,0,1,No,2,0,597
90,Bachelors,2012,Bangalore,3,0,0,No,3,0,747
100,Masters,2014,New Delhi,3,0,0,No,3,0,1664
110,PHD,2018,New Delhi,2,0,0,No,4,1,2797
70,Bachelors,2017,New Delhi,3,0,0,No,3,0,3995
90,Bachelors,2016,Bangalore,3,0,1,No,4,0,2457
15,Bachelors,2018,Bangalore,3,0,1,No,3,1,1316
70,Masters,2017,Pune,2,0,1,No,1,0,2310
110,Bachelors,2017,New Delhi,3,0,0,No,5,0,363
25,Bachelors,2018,Pune,3,0,1,No,1,1,679
110,PHD,2016,Bangalore,3,0,1,No,5,0,962
70,Bachelors,2017,Pune,2,0,1,No,1,0,3416
45,Bachelors,2012,Bangalore,3,0,1,No,4,1,2067
35,Bachelors,2015,Pune,2,0,0,Yes,0,1,3086
70,Bachelors,2017,New Delhi,2,0,1,No,4,0,2872
35,Bachelors,2015,New Delhi,2,0,0,Yes,2,1,712
90,Bachelors,2014,Bangalore,3,0,1,No,1,0,1989
70,Bachelors,2012,Bangalore,3,0,1,Yes,3,0,503
50,Masters,2017,Pune,2,1,1,Yes,2,0,3111
110,Bachelors,2017,Bangalore,3,0,0,No,5,0,2723
60,Bachelors,2017,Bangalore,3,0,0,No,3,0,3863
55,Bachelors,2015,Pune,3,0,0,No,2,1,2113
90,Bachelors,2012,Bangalore,3,0,1,No,4,0,4453
60,Bachelors,2017,Bangalore,3,0,1,No,1,0,3074
110,Bachelors,2017,New Delhi,2,0,1,No,5,0,2948
45,Bachelors,2016,Bangalore,2,0,1,No,3,1,1319
55,Bachelors,2015,Pune,2,0,0,No,2,1,1725
60,Bachelors,2017,Bangalore,3,0,1,No,4,0,2838
55,Bachelors,2015,Pune,1,0,0,No,2,1,1586
55,Bachelors,2015,Pune,3,0,0,No,2,1,4425
110,Bachelors,2017,Bangalore,3,0,1,Yes,5,0,1251
100,Masters,2016,New Delhi,3,1,0,No,4,0,3959
90,Bachelors,2016,Bangalore,3,0,0,No,2,0,1322
55,Masters,2013,New Delhi,3,0,1,No,4,1,2194
-5,Bachelors,2018,Bangalore,3,0,1,Yes,1,1,3399
100,Bachelors,2013,Pune,3,0,1,No,4,0,2606
